Índice,NomDepartamento,Año,NumMes,Día,NomClaseAccidente,NomCausaAcc,NomCondMeteorologica,NomDia,NomGeometriaAcc,terreno,secc_tip,n_victimas,n_muertos,n_heridos,Festividad
"330,Antioquia,2016,12,31,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"331,Antioquia,2017,6,4,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"334,Antioquia,2017,8,14,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"335,Antioquia,2017,7,14,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"337,Antioquia,2017,11,13,Choque,Sin causa especifica,Normal,lunes,Curva Izquierda,Montañoso,Media ladera Izquierda,"""",0,0,0"
"338,Antioquia,2017,7,6,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"340,Antioquia,2017,2,7,Choque,Sin causa especifica,Normal,martes,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"341,Antioquia,2017,6,29,Choque,Sin causa especifica,Normal,jueves,Curva Derecha,Montañoso,Media ladera Izquierda,"""",0,1,0"
"342,Antioquia,2017,6,29,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"343,Antioquia,2017,6,29,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"345,Antioquia,2017,8,14,Caída ocupante,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,1"
"346,Antioquia,2017,3,18,Choque,Sin causa especifica,Normal,sabado,Curva Derecha,Montañoso,Media ladera Izquierda,"""",2,0,0"
"348,Antioquia,2017,11,17,Choque,Sin causa especifica,Normal,viernes,Recta,Ondulado,Media Ladera Derecha,"""",0,2,0"
"349,Antioquia,2017,7,15,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"350,Antioquia,2017,6,10,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"351,Antioquia,2016,12,30,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
"353,Antioquia,2017,6,18,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"354,Antioquia,2018,1,29,Choque,Sin causa especifica,Normal,lunes,Recta,Ondulado,Terraplen,"""",0,0,0"
"355,Antioquia,2017,3,21,Volcamiento,Sin causa especifica,Normal,martes,Curva Izquierda,Montañoso,Media Ladera Derecha,"""",0,1,0"
356,Antioquia,2018,8,3,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,1,0,1,0
"357,Antioquia,2017,6,10,Caída ocupante,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"358,Antioquia,2018,2,2,Choque,Sin causa especifica,Normal,viernes,Recta,Ondulado,Media ladera Izquierda,"""",0,1,0"
"359,Antioquia,2017,4,10,Choque,Sin causa especifica,Normal,lunes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"360,Antioquia,2017,6,17,Choque,Sin causa especifica,Normal,sabado,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"362,Antioquia,2017,6,29,Choque,Sin causa especifica,Normal,jueves,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"365,Antioquia,2017,12,10,Choque,Sin causa especifica,Normal,domingo,Recta,Montañoso,Media ladera Izquierda,"""",0,3,0"
"368,Antioquia,2017,8,9,Choque,Sin causa especifica,Seca,miercoles,Recta,Plano,Media ladera Izquierda,"""",0,1,0"
"369,Antioquia,2017,4,21,Choque,Sin causa especifica,Normal,viernes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"370,Antioquia,2018,1,16,Choque,Sin causa especifica,Normal,martes,Recta,Ondulado,Media ladera Izquierda,"""",0,2,0"
"371,Antioquia,2017,4,11,Choque,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"373,Antioquia,2017,4,19,Choque,Sin causa especifica,Lluvia,miercoles,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
"374,Antioquia,2017,7,14,Choque,Sin causa especifica,Normal,viernes,Recta,Plano,Media ladera Izquierda,"""",0,0,0"
"377,Antioquia,2017,11,18,Choque,Sin causa especifica,Lluvia,sabado,Recta,Ondulado,Media Ladera Derecha,"""",0,3,0"
"378,Antioquia,2017,4,18,Caída de piedra,Sin causa especifica,Normal,martes,Recta,Montañoso,Media ladera Izquierda,"""",0,1,0"
