Índice,Año,NumMes,Día,NomDepartamento,NomClaseAccidente,NomCausaAcc,NomGeometriaAcc,terreno,secc_tip,n_muertos,n_heridos,Festividad
148,2018,6,10,Caquetá,Salida de la vía sin volcarse,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
149,2017,11,18,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media Ladera Derecha,0,0,0
150,2018,7,28,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
151,2018,1,24,Casanare,Volcamiento,Sin causa especifica,Curva Derecha,Montañoso,Media ladera Izquierda,0,0,0
152,2017,10,10,Risaralda,Choque,Sin causa especifica,Curva Derecha,Plano,Terraplen,0,1,0
153,2017,2,22,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
154,2017,10,12,Norte de Santander,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,1,0,0
155,2018,7,24,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,0
156,2017,4,23,Casanare,Volcamiento,Sin causa especifica,Curva Izquierda,Montañoso,Media Ladera Derecha,0,2,0
157,2019,2,12,Antioquia,Choque,Sin causa especifica,Curva Derecha,Ondulado,Media ladera Izquierda,0,1,0
158,2017,6,29,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
159,2018,7,26,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
160,2018,7,29,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
161,2017,11,5,Antioquia,Choque,Sin causa especifica,Recta,Ondulado,Media ladera Izquierda,0,0,1
162,2017,11,24,Tolima,Volcamiento,Sin causa especifica,Curva Izquierda,Escarpado,Media ladera Izquierda,0,0,0
163,2018,7,29,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,0,1
164,2018,7,29,Antioquia,Choque,Sin causa especifica,Recta,Montañoso,Media ladera Izquierda,0,1,1
165,2017,6,9,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
166,2018,1,4,Tolima,Volcamiento,Sin causa especifica,Curva Derecha,Escarpado,Media Ladera Derecha,0,4,0
167,2017,1,29,Putumayo,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,0,0
168,2016,12,17,Valle del Cauca,Choque,Sin causa especifica,Curva Derecha,Plano,Terraplen,0,0,0
169,2017,4,12,Valle del Cauca,Choque,Sin causa especifica,Recta,Plano,Terraplen,0,1,0
